Package                                                                        Current                               Wanted         Latest  Location                                                                                      Depended by
@turf/bbox-polygon                                                               6.5.0                                6.5.0          7.1.0  node_modules/@turf/bbox-polygon                                                               @turf/envelope
@turf/bbox-polygon                                                               6.5.0                                6.5.0          7.1.0  node_modules/@turf/bbox-polygon                                                               @turf/shortest-path
@turf/bbox-polygon                                                               6.5.0                                6.5.0          7.1.0  node_modules/@turf/bbox-polygon                                                               @turf/turf
@turf/bearing                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/bearing                                                                    @turf/along
@turf/bearing                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/bearing                                                                    @turf/angle
@turf/bearing                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/bearing                                                                    @turf/line-slice-along
@turf/bearing                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/bearing                                                                    @turf/midpoint
@turf/bearing                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/bearing                                                                    @turf/nearest-point-on-line
@turf/bearing                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/bearing                                                                    @turf/point-to-line-distance
@turf/bearing                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/bearing                                                                    @turf/turf
@turf/bezier-spline                                                              6.5.0                                6.5.0          7.1.0  node_modules/@turf/bezier-spline                                                              @turf/turf
@turf/boolean-clockwise                                                          6.5.0                                6.5.0          7.1.0  node_modules/@turf/boolean-clockwise                                                          @turf/rewind
@turf/boolean-clockwise                                                          6.5.0                                6.5.0          7.1.0  node_modules/@turf/boolean-clockwise                                                          @turf/turf
